Zip Code,Positive
10001,191
10002,456
10003,253
10004,21
10005,36
10006,8
10007,31
10009,333
10010,150
10011,329
10012,91
10013,140
10014,198
10016,389
10017,80
10018,126
10019,298
10021,325
10022,187
10023,289
10024,339
10025,513
10026,255
10027,389
10028,284
10029,680
10030,232
10031,483
10032,586
10033,521
10034,273
10035,358
10036,207
10037,194
10038,126
10039,214
10040,399
10044,81
10065,197
10069,33
10075,241
10128,352
10280,25
10282,37
10301,457
10302,236
10303,363
10304,634
10305,540
10306,705
10307,186
10308,344
10309,416
10310,294
10312,794
10314,1173
10451,646
10452,869
10453,941
10454,455
10455,457
10456,948
10457,820
10458,807
10459,604
10460,649
10461,837
10462,987
10463,681
10464,63
10465,703
10466,970
10467,1442
10468,995
10469,1208
10470,205
10471,245
10472,760
10473,858
10474,138
10475,707
11429,432
11004,278
11101,298
11102,256
11103,243
11104,219
11105,226
11106,293
11109,30
11201,321
11203,792
11204,994
11205,347
11206,648
11207,763
11208,841
11209,497
11210,776
11211,1066
11212,698
11213,682
11214,616
11215,307
11216,318
11217,258
11218,856
11219,1513
11220,656
11221,538
11222,205
11223,752
11224,387
11225,541
11226,784
11228,294
11229,674
11230,1167
11231,217
11232,222
11233,481
11234,944
11235,757
11236,1069
11237,375
11238,381
11239,199
11357,373
11355,475
11354,366
11356,231
11358,246
11360,138
11361,207
11362,141
11363,63
11364,220
11365,358
11366,216
11367,541
11368,2132
11369,746
11370,731
11372,1232
11373,1602
11374,581
11375,825
11377,962
11378,318
11379,366
11385,885
11411,341
11412,577
11413,622
11414,392
11415,251
11416,267
11417,370
11418,443
11419,443
11420,555
11421,481
11422,467
11423,412
11426,243
11427,367
11428,280
11434,895
11432,710
11433,394
11435,649
11436,217
11691,941
11692,246
11693,167
11694,302
11697,52
